text,label,timestamp
The earnings report looks great - tell your clients to buy before it's released tomorrow.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007445
The regulator doesn't need to know about this communication channel we use.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007517
Let's not assign this project to her. Women aren't good with technical matters.,HARASSMENT,2025-03-12T02:08:21.008506
"Don't tell the clients about the hidden fees, they'll never notice.",ETHICAL_BREACH,2025-03-12T02:08:21.006557
We can backdate these trades to capture the better price from yesterday.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.006872
I've completed the risk assessment for the new client and added it to their file.,COMPLIANT,2025-03-12T02:08:21.009228
We can use these shell companies to hide where the money is really coming from.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.007105
I can help you structure these transactions to stay under the reporting threshold.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.006945
Here's the complete client list with their account balances and SSNs.,CONFIDENTIAL_INFO,2025-03-12T02:08:21.007710
I've attached the customer credit card information you requested.,CONFIDENTIAL_INFO,2025-03-12T02:08:21.007688
Did you see what he was wearing today? He looks ridiculous and unprofessional.,HARASSMENT,2025-03-12T02:08:21.008250
We can backdate these trades to capture the better price from yesterday.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.006862
The market volatility requires us to rebalance portfolios according to client risk profiles.,COMPLIANT,2025-03-12T02:08:21.008887
The regulator doesn't need to know about this communication channel we use.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007180
Let's move these funds through our offshore accounts to avoid detection.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.007013
Here's access to our internal research database - don't tell anyone I gave it to you.,CONFIDENTIAL_INFO,2025-03-12T02:08:21.007828
Let's move these funds through our offshore accounts to avoid detection.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.006937
The earnings report looks great - tell your clients to buy before it's released tomorrow.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007664
Let's not assign this project to her. Women aren't good with technical matters.,HARASSMENT,2025-03-12T02:08:21.008210
The earnings report looks great - tell your clients to buy before it's released tomorrow.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007636
I've completed the risk assessment for the new client and added it to their file.,COMPLIANT,2025-03-12T02:08:21.008758
I've documented all the customer interactions as per our company policy.,COMPLIANT,2025-03-12T02:08:21.008699
The regulator doesn't need to know about this communication channel we use.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007573
"Just skip the know-your-customer process for this client, they're a VIP.",REGULATORY_VIOLATION,2025-03-12T02:08:21.007354
The earnings report looks great - tell your clients to buy before it's released tomorrow.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007559
Let's move these funds through our offshore accounts to avoid detection.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.006955
I'm attaching the unreleased financial statements for next quarter.,CONFIDENTIAL_INFO,2025-03-12T02:08:21.007998
"I know the investment isn't suitable for them, but we need to hit our sales targets.",ETHICAL_BREACH,2025-03-12T02:08:21.006540
I wouldn't trust someone from his cultural background with sensitive client information.,HARASSMENT,2025-03-12T02:08:21.008683
I'll give you special access if you refer your high-net-worth clients to me.,ETHICAL_BREACH,2025-03-12T02:08:21.006525
Let's move these funds through our offshore accounts to avoid detection.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.006823
Here's access to our internal research database - don't tell anyone I gave it to you.,CONFIDENTIAL_INFO,2025-03-12T02:08:21.007884
Let's just adjust these numbers slightly before showing them to the regulators.,ETHICAL_BREACH,2025-03-12T02:08:21.006516
I can help you structure these transactions to stay under the reporting threshold.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.006864
I can guarantee you'll make at least 20% returns on this investment strategy.,ETHICAL_BREACH,2025-03-12T02:08:21.006605
"Just skip the know-your-customer process for this client, they're a VIP.",REGULATORY_VIOLATION,2025-03-12T02:08:21.007196
I can help you structure these transactions to stay under the reporting threshold.,ILLEGAL_ACTIVITY,2025-03-12T02:08:21.006943
The earnings report looks great - tell your clients to buy before it's released tomorrow.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007571
The regulator doesn't need to know about this communication channel we use.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007395
The regulator doesn't need to know about this communication channel we use.,REGULATORY_VIOLATION,2025-03-12T02:08:21.007498
Did you see what he was wearing today? He looks ridiculous and unprofessional.,HARASSMENT,2025-03-12T02:08:21.008651
"I know the investment isn't suitable for them, but we need to hit our sales targets.",ETHICAL_BREACH,2025-03-12T02:08:21.006384
